Input Pressure,Input Frequency,Measured Velocity,Calculated Velocity,Estimated Material,Optimal Pressure,Optimal Frequency,Estimated Max Velocity,True Material,Material Correct,Residual Velocity
200,0.33,2.17,2.015087128,Rubber,240,0.4,3.764887333,Rubber,1,0.15491287200000015
180,0.33,1.0,0.865379989,Rubber,230,0.4,3.980440617,Rubber,1,0.13462001099999998
150,0.17,1.0,1.148172975,Rubber,240,0.4,3.97036314,Rubber,1,-0.14817297500000004
120,0.25,-0.5,-0.149543464,Glass,230,0.4,3.867447853,Rubber,0,-0.35045653600000004
250,0.4,3.6,3.956941128,Rubber,230,0.4,3.985609531,Rubber,1,-0.3569411279999999
120,0.17,0.25,0.228582636,Rubber,230,0.4,3.926952839,Rubber,1,0.021417363999999994
140,0.33,-1.0,-0.922080874,Rubber,230,0.4,3.854875565,Rubber,1,-0.07791912599999995
150,0.125,-0.375,-0.269944847,Rubber,230,0.4,3.9259305,Rubber,1,-0.10505515300000001
200,0.33,2.3,2.366064548,Glass,230,0.4,3.883723736,Glass,1,-0.06606454800000039
160,0.25,0.75,0.572802901,Glass,230,0.4,3.820900917,Glass,1,0.17719709900000002
150,0.33,2.1,1.30828476,Glass,230,0.4,3.883232117,Glass,1,0.79171524
100,0.4,-0.2,-0.066075802,Rubber,230,0.4,3.921595573,Glass,0,-0.133924198
100,0.4,-0.2,-0.145864457,Glass,230,0.4,3.829943657,Glass,1,-0.05413554300000001
140,0.17,0.51,0.749207735,Rubber,230,0.4,3.98327446,Glass,0,-0.23920773500000003
140,0.17,0.51,0.069941163,Glass,230,0.4,3.871256828,Glass,1,0.44005883700000004
140,0.17,0.51,0.723320305,Rubber,240,0.4,3.98157835,Glass,0,-0.213320305
220,0.4,2.0,2.875158787,Glass,230,0.4,3.870887756,Glass,1,-0.8751587870000002
200,0.33,3.0,3.37300157546997,Plastic,230,0.4,5.03514289855957,Plastic,1,-0.3730015754699698
240,0.4,3.8,3.48086285591125,Rubber,250,0.4,4.11599969863891,Plastic,0,0.3191371440887498
150,0.17,0.6,0.610686779022216,Plastic,250,0.4,5.6009030342102,Plastic,1,-0.010686779022216042
100,0.25,-0.33,-0.392977893352508,Plastic,220,0.4,4.84427452087402,Plastic,1,0.06297789335250797
130,0.33,0.66,0.733221650123596,Plastic,230,0.4,5.07106304168701,Plastic,1,-0.07322165012359594
250,0.125,1.25,1.44881784915924,Rubber,250,0.4,4.08442306518554,Plastic,0,-0.19881784915924006
250,0.125,1.25,1.44075453281402,Rubber,250,0.4,4.15392017364501,Plastic,0,-0.1907545328140201
160,0.33,1.5,1.39432919025421,Glass,250,0.4,4.17771863937377,Plastic,0,0.1056708097457899
190,0.25,1.75,1.95964646339416,Plastic,240,0.4,5.36040210723876,Plastic,1,-0.20964646339415993
220,0.33,4.0,4.06091928482055,Iron,250,0.4,5.49400568008422,Iron,1,-0.06091928482055042
120,0.125,0.94,0.0878932625055313,Iron,240,0.4,5.32114887237548,Iron,1,0.8521067374944686
210,0.17,2.3,2.41916394233703,Iron,240,0.4,5.32613182067871,Iron,1,-0.1191639423370301
110,0.4,0.12,0.0283710807561874,Iron,240,0.4,5.31715965270996,Iron,1,0.0916289192438126
230,0.125,2.125,2.26356196403503,Iron,240,0.4,5.29024076461792,Iron,1,-0.13856196403503018
140,0.25,2.375,1.65284872055053,Iron,240,0.4,5.27537393569946,Iron,1,0.72215127944947
100,0.17,0.34,0.244807288050651,Rubber,250,0.4,3.92562842369079,Iron,0,0.09519271194934903
180,0.4,4.4,3.5908191204071,Plastic,250,0.4,5.55808162689209,Iron,0,0.8091808795929003
200,0.33,0.6,0.370396972,Paper,240,0.4,1.533872128,Paper,1,0.229603028
150,0.17,-0.17,-0.037119493,Paper,240,0.4,1.549736142,Paper,1,-0.132880507
240,0.25,0.75,0.980985999,Paper,240,0.4,1.529757619,Paper,1,-0.23098599900000005
160,0.33,0.33,-0.027932346,Paper,240,0.4,1.533371091,Paper,1,0.357932346
130,0.125,0.18,-0.010054082,Glass,230,0.4,3.844135284,Paper,0,0.19005408199999999
170,0.25,0.25,0.0106115490198135,Paper,240,0.4,1.42215144634246,Paper,1,0.2393884509801865
